fiyat;marka;seri;model;yil;km;vites;yakit;kasa;renk;motorHacmi;motorGucu;cekis;yakitTuketimi;yakitDeposu;boyaDegisen;takas;kimden
735.000 TL;Renault;Clio;1.5 dCi Joy;2016;195.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;5 boyalı;Takasa Uygun;Galeriden
665.000 TL;Renault;Clio;1.5 dCi Joy;2014;158.000 km;Düz;Dizel;Hatchback/3;Beyaz;6001 cm3 ve üzeri;601 HP ve üzeri;Önden Çekiş;-;-;Tamamı orjinal;Takasa Uygun;Galeriden
548.000 TL;Renault;Clio;0.9 TCe Joy;2020;119.000 km;Düz;Benzin;Hatchback/5;Beyaz;898 cc;90 hp;Önden Çekiş;5 lt;45 lt;3 boyalı;Takasa Uygun Değil;Galeriden
584.000 TL;Renault;Clio;1.5 dCi Joy;2019;123.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;6 boyalı;Takasa Uygun;Galeriden
497.500 TL;Renault;Clio;1.2 Joy;2015;163.500 km;Düz;Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
576.500 TL;Renault;Clio;1.5 dCi Joy;2019;165.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
975.000 TL;Renault;Clio;1.0 TCe Icon;2023;6.500 km;Otomatik;Benzin;Hatchback/5;Gri;1200 cm3' e kadar;76 - 100 HP;Önden Çekiş;-;-;Tamamı orjinal;Takasa Uygun Değil;Galeriden
800.000 TL;Renault;Clio;1.5 dCi Icon;2018;48.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
709.900 TL;Renault;Clio;1.5 dCi Touch;2015;94.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;3 boyalı;Takasa Uygun;Galeriden
543.000 TL;Renault;Clio;1.5 dCi Joy;2016;98.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;1 değişen, 6 boyalı;Takasa Uygun;Galeriden
549.500 TL;Renault;Clio;1.2 Icon;2013;108.000 km;Düz;Benzin;Hatchback/5;Mavi;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
849.750 TL;Renault;Clio;1.0 TCe Joy;2023;6.049 km;Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun;Galeriden
559.750 TL;Renault;Clio;1.2 SportTourer Joy;2015;71.500 km;Düz;Benzin;Station wagon;Kırmızı;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
713.000 TL;Renault;Clio;1.3 TCe Touch;2020;115.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1332 cc;130 hp;Önden Çekiş;5,2 lt;42 lt;3 boyalı;Takasa Uygun;Galeriden
895.900 TL;Renault;Clio;1.0 TCe Touch;2023;6.500 km;Otomatik;Benzin;Hatchback/5;Gri;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun;Galeriden
345.000 TL;Renault;Clio;1.4 Privilege;2003;271.000 km;Düz;LPG & Benzin;Hatchback/5;Kırmızı;1390 cc;98 hp;Önden Çekiş;6,7 lt;50 lt;2 değişen, 7 boyalı;Takasa Uygun;Galeriden
275.000 TL;Renault;Clio;1.4 Dynamique;2002;242.000 km;Düz;LPG & Benzin;Sedan;Gri;1390 cc;98 hp;Önden Çekiş;7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
725.000 TL;Renault;Clio;1.5 dCi Touch;2019;141.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;2 boyalı;Takasa Uygun Değil;Galeriden
735.000 TL;Renault;Clio;1.5 dCi Touch;2019;142.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
680.000 TL;Renault;Clio;1.5 dCi Touch;2016;113.000 km;Düz;Dizel;Hatchback/5;Gri (metalik);1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
723.000 TL;Renault;Clio;1.5 dCi Icon;2017;146.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
265.000 TL;Renault;Clio;1.5 dCi Alize;2006;269.500 km;Düz;Dizel;Sedan;Gri;1461 cc;80 hp;Önden Çekiş;4,7 lt;50 lt;11 boyalı;Takasa Uygun Değil;Galeriden
